Kraj,Sprzedawca,Data_zamowienia,idZamowienia,Utarg
Polska,King,21.01.2005,10777,224.00
Niemcy,Leverling,14.01.2005,10779,1335.00
Niemcy,Davolio,19.01.2005,10788,731.50
Polska,Sowiński,01.01.2005,10791,1829.76
Niemcy,Leverling,08.01.2005,10793,191.10
Polska,Sowiński,02.01.2005,10794,314.76
Niemcy,Callahan,20.01.2005,10795,2158.00
Niemcy,Leverling,14.01.2005,10796,2341.36
Polska,King,05.01.2005,10797,420.00
Niemcy,Fuller,05.01.2005,10798,446.60
Polska,Dudek,05.01.2005,10799,1553.50
Niemcy,Davolio,05.01.2005,10800,1468.93
Niemcy,Peacock,02.01.2005,10802,2942.81
Niemcy,Peacock,06.01.2005,10803,1193.01
Polska,Sowiński,07.01.2005,10804,2278.40
Niemcy,Fuller,09.01.2005,10805,2775.00
Niemcy,Leverling,05.01.2005,10806,439.60
Niemcy,Peacock,30.01.2005,10807,18.40
Niemcy,Fuller,09.01.2005,10808,1411.00
Polska,King,07.01.2005,10809,140.00
Niemcy,Fuller,07.01.2005,10810,187.00
Niemcy,Callahan,08.01.2005,10811,852.00
Polska,Kowalski,12.01.2005,10812,1692.80
Niemcy,Davolio,09.01.2005,10813,602.40
Niemcy,Leverling,14.01.2005,10814,1788.45
Niemcy,Fuller,14.01.2005,10815,40.00
Niemcy,Peacock,04.02.2005,10816,8446.45
Niemcy,Leverling,13.01.2005,10817,10952.84
Polska,King,12.01.2005,10818,833.00
Niemcy,Fuller,16.01.2005,10819,477.00
Niemcy,Leverling,13.01.2005,10820,1140.00
Niemcy,Davolio,15.01.2005,10821,678.00
Polska,Sowiński,16.01.2005,10822,237.90
Polska,Kowalski,13.01.2005,10823,2826.00
Niemcy,Callahan,30.01.2005,10824,250.80
Niemcy,Davolio,14.01.2005,10825,1030.76
Polska,Sowiński,06.02.2005,10826,730.00
Niemcy,Davolio,06.02.2005,10827,843.00
Polska,Dudek,04.02.2005,10828,932.00
Polska,Dudek,23.01.2005,10829,1764.00
Niemcy,Peacock,21.01.2005,10830,1974.00
Niemcy,Leverling,23.01.2005,10831,2684.40
Niemcy,Fuller,19.01.2005,10832,475.11
Polska,Sowiński,23.01.2005,10833,906.93
Niemcy,Davolio,19.01.2005,10834,1432.71
Niemcy,Davolio,21.01.2005,10835,845.80
Polska,King,21.01.2005,10836,4705.50
Polska,Dudek,23.01.2005,10837,1064.50
Niemcy,Leverling,23.01.2005,10838,1938.38
Niemcy,Leverling,22.01.2005,10839,827.55
Niemcy,Peacock,16.02.2005,10840,211.20
Polska,Kowalski,29.01.2005,10841,4581.00
Niemcy,Davolio,29.01.2005,10842,975.00
Niemcy,Peacock,26.01.2005,10843,159.00
Niemcy,Callahan,26.01.2005,10844,735.00
Niemcy,Callahan,30.01.2005,10845,3812.70
Niemcy,Fuller,23.01.2005,10846,1112.00
Niemcy,Peacock,10.02.2005,10847,4931.92
Polska,King,29.01.2005,10848,931.50
Polska,Dudek,30.01.2005,10849,967.82
Niemcy,Davolio,30.01.2005,10850,629.00
Polska,Kowalski,02.02.2005,10851,2603.00
Niemcy,Callahan,30.01.2005,10852,2984.00
Polska,Dudek,03.02.2005,10853,625.00
Niemcy,Leverling,05.02.2005,10854,2966.50
Niemcy,Leverling,04.02.2005,10855,2227.89
Niemcy,Leverling,10.02.2005,10856,660.00
Niemcy,Callahan,06.02.2005,10857,2048.22
Niemcy,Fuller,03.02.2005,10858,649.00
Niemcy,Davolio,02.02.2005,10859,1078.69
Niemcy,Leverling,04.02.2005,10860,519.00
Niemcy,Peacock,17.02.2005,10861,3523.40
Niemcy,Callahan,02.02.2005,10862,581.00
Niemcy,Peacock,17.02.2005,10863,441.15
Niemcy,Peacock,09.02.2005,10864,282.00
Niemcy,Fuller,12.02.2005,10865,16387.50
Polska,Kowalski,12.02.2005,10866,1096.20
Polska,Sowiński,11.02.2005,10867,98.40
Polska,King,23.02.2005,10868,1920.60
Polska,Kowalski,09.02.2005,10869,1630.00
Polska,Kowalski,13.02.2005,10870,160.00
Polska,Dudek,10.02.2005,10871,1979.23
Polska,Kowalski,09.02.2005,10872,2058.46
Niemcy,Peacock,09.02.2005,10873,336.80
Polska,Kowalski,11.02.2005,10874,310.00
Niemcy,Peacock,03.03.2005,10875,709.55
Polska,King,12.02.2005,10876,917.00
Niemcy,Davolio,19.02.2005,10877,1955.13
Niemcy,Peacock,12.02.2005,10878,1539.00
Niemcy,Leverling,12.02.2005,10879,611.30
Polska,King,18.02.2005,10880,1500.00
Niemcy,Peacock,18.02.2005,10881,150.00
Niemcy,Peacock,20.02.2005,10882,892.64
Niemcy,Callahan,20.02.2005,10883,36.00
Niemcy,Peacock,13.02.2005,10884,1378.07
Polska,Sowiński,18.02.2005,10885,1209.00
Niemcy,Davolio,02.03.2005,10886,3127.50
Niemcy,Callahan,16.02.2005,10887,70.00
Niemcy,Davolio,23.02.2005,10888,605.00
Polska,Dudek,23.02.2005,10889,11380.00
Polska,King,18.02.2005,10890,860.10
Polska,King,19.02.2005,10891,368.93
Niemcy,Peacock,19.02.2005,10892,2090.00
Polska,Dudek,20.02.2005,10893,5502.11
Niemcy,Davolio,20.02.2005,10894,2753.10
Niemcy,Leverling,23.02.2005,10895,6379.40
Polska,King,27.02.2005,10896,750.50
Niemcy,Leverling,25.02.2005,10897,10835.24
Niemcy,Peacock,06.03.2005,10898,30.00
Polska,Kowalski,26.02.2005,10899,122.40
Niemcy,Davolio,04.03.2005,10900,33.75
Niemcy,Peacock,26.02.2005,10901,934.50
Niemcy,Davolio,03.03.2005,10902,863.43
Niemcy,Leverling,04.03.2005,10903,932.05
Niemcy,Leverling,27.02.2005,10904,1924.25
Polska,Dudek,06.03.2005,10905,342.00
Niemcy,Peacock,03.03.2005,10906,427.50
Polska,Sowiński,27.02.2005,10907,108.50
Niemcy,Peacock,06.03.2005,10908,663.10
